Trace1,,,,
Freq,,Amp,,
           106052718,Hz,              -95.70, dBm,
           106065324,Hz,              -95.18, dBm,
           106077930,Hz,              -95.43, dBm,
           106090536,Hz,              -95.25, dBm,
           106103142,Hz,              -95.09, dBm,
           106115748,Hz,              -94.83, dBm,
           106128354,Hz,              -94.99, dBm,
           106140960,Hz,              -95.02, dBm,
           106153566,Hz,              -94.55, dBm,
           106166172,Hz,              -94.53, dBm,
           106178778,Hz,              -94.39, dBm,
           106191384,Hz,              -93.94, dBm,
           106203990,Hz,              -94.39, dBm,
           106216596,Hz,              -93.89, dBm,
           106229202,Hz,              -92.93, dBm,
           106241808,Hz,              -92.70, dBm,
           106254414,Hz,              -92.54, dBm,
           106267020,Hz,              -91.61, dBm,
           106279626,Hz,              -91.97, dBm,
           106292232,Hz,              -92.24, dBm,
           106304838,Hz,              -91.73, dBm,
           106317444,Hz,              -91.85, dBm,
           106330050,Hz,              -92.35, dBm,
           106342656,Hz,              -92.83, dBm,
           106355262,Hz,              -93.09, dBm,
           106367868,Hz,              -93.85, dBm,
           106380474,Hz,              -94.12, dBm,
           106393080,Hz,              -94.55, dBm,
           106405686,Hz,              -94.79, dBm,
           106418292,Hz,              -94.78, dBm,
           106430898,Hz,              -95.31, dBm,
           106443504,Hz,              -95.24, dBm,
           106456110,Hz,              -95.62, dBm,
           106468716,Hz,              -95.32, dBm,
           106481322,Hz,              -95.77, dBm,
           106493928,Hz,              -96.23, dBm,
           106506534,Hz,              -95.89, dBm,
           106519140,Hz,              -96.07, dBm,
           106531746,Hz,              -95.94, dBm,
           106544352,Hz,              -96.18, dBm,
           106556958,Hz,              -96.26, dBm,
           106569564,Hz,              -96.42, dBm,
           106582170,Hz,              -96.24, dBm,
           106594776,Hz,              -96.15, dBm,
           106607382,Hz,              -96.37, dBm,
           106619988,Hz,              -96.60, dBm,
           106632594,Hz,              -96.57, dBm,
           106645200,Hz,              -96.40, dBm,
           106657806,Hz,              -96.57, dBm,
           106670412,Hz,              -96.38, dBm,
           106683018,Hz,              -96.19, dBm,
           106695624,Hz,              -96.36, dBm,
           106708230,Hz,              -96.58, dBm,
           106720836,Hz,              -96.45, dBm,
           106733442,Hz,              -96.51, dBm,
           106746048,Hz,              -96.49, dBm,
           106758654,Hz,              -96.56, dBm,
           106771260,Hz,              -96.62, dBm,
           106783866,Hz,              -96.72, dBm,
           106796472,Hz,              -96.47, dBm,
           106809078,Hz,              -96.60, dBm,
           106821684,Hz,              -96.88, dBm,
           106834290,Hz,              -96.91, dBm,
           106846896,Hz,              -96.28, dBm,
           106859502,Hz,              -96.54, dBm,
           106872108,Hz,              -96.47, dBm,
           106884714,Hz,              -96.59, dBm,
           106897320,Hz,              -96.44, dBm,
           106909926,Hz,              -96.35, dBm,
           106922532,Hz,              -96.63, dBm,
           106935138,Hz,              -96.68, dBm,
           106947744,Hz,              -96.75, dBm,
           106960350,Hz,              -96.95, dBm,
           106972956,Hz,              -96.66, dBm,
           106985562,Hz,              -96.56, dBm,
           106998168,Hz,              -96.54, dBm,
           107010774,Hz,              -96.46, dBm,
           107023380,Hz,              -96.53, dBm,
           107035986,Hz,              -96.44, dBm,
           107048592,Hz,              -96.55, dBm,
           107061198,Hz,              -96.43, dBm,
           107073804,Hz,              -96.54, dBm,
           107086410,Hz,              -96.57, dBm,
           107099016,Hz,              -96.49, dBm,
           107111622,Hz,              -96.49, dBm,
           107124228,Hz,              -96.64, dBm,
           107136834,Hz,              -96.74, dBm,
           107149440,Hz,              -96.62, dBm,
           107162046,Hz,              -96.29, dBm,
           107174652,Hz,              -96.80, dBm,
           107187258,Hz,              -96.44, dBm,
           107199864,Hz,              -96.49, dBm,
           107212470,Hz,              -96.62, dBm,
           107225076,Hz,              -96.20, dBm,
           107237682,Hz,              -96.68, dBm,
           107250288,Hz,              -96.31, dBm,
           107262894,Hz,              -96.83, dBm,
           107275500,Hz,              -96.58, dBm,
           107288106,Hz,              -96.59, dBm,
           107300712,Hz,              -96.38, dBm,
           107313318,Hz,              -96.37, dBm,
           107325924,Hz,              -96.17, dBm,
           107338530,Hz,              -96.60, dBm,
           107351136,Hz,              -96.15, dBm,
           107363742,Hz,              -96.58, dBm,
           107376348,Hz,              -96.05, dBm,
           107388954,Hz,              -95.84, dBm,
           107401560,Hz,              -96.26, dBm,
           107414166,Hz,              -96.42, dBm,
           107426772,Hz,              -96.28, dBm,
           107439378,Hz,              -96.15, dBm,
           107451984,Hz,              -95.95, dBm,
           107464590,Hz,              -95.92, dBm,
           107477196,Hz,              -96.39, dBm,
           107489802,Hz,              -96.10, dBm,
           107502408,Hz,              -96.53, dBm,
           107515014,Hz,              -96.47, dBm,
           107527620,Hz,              -96.61, dBm,
           107540226,Hz,              -96.22, dBm,
           107552832,Hz,              -96.63, dBm,
           107565438,Hz,              -96.60, dBm,
           107578044,Hz,              -96.40, dBm,
           107590650,Hz,              -96.52, dBm,
           107603256,Hz,              -96.46, dBm,
           107615862,Hz,              -96.53, dBm,
           107628468,Hz,              -96.27, dBm,
           107641074,Hz,              -96.66, dBm,
           107653680,Hz,              -96.62, dBm,
           107666286,Hz,              -96.55, dBm,
           107678892,Hz,              -97.04, dBm,
           107691498,Hz,              -96.75, dBm,
           107704104,Hz,              -96.67, dBm,
           107716710,Hz,              -96.91, dBm,
           107729316,Hz,              -96.75, dBm,
           107741922,Hz,              -97.14, dBm,
           107754528,Hz,              -96.30, dBm,
           107767134,Hz,              -97.12, dBm,
           107779740,Hz,              -96.89, dBm,
           107792346,Hz,              -96.61, dBm,
